ID,year,x,date,num
93534,2002,Overall Rating,2002-1,5
208453,2002,Overall Rating,2002-1,5
93352,2002,Overall Rating,2002-1,5
76049,2002,Overall Rating,2002-1,5
113317,2002,Overall Rating,2002-1,5
220240,2002,Overall Rating,2002-1,5
87659,2002,Overall Rating,2002-1,4
235385,2002,Overall Rating,2002-1,4
90976,2002,Overall Rating,2002-1,5
87573,2002,Overall Rating,2002-1,3.5
87576,2002,Overall Rating,2002-1,2
87627,2002,Overall Rating,2002-1,1
123317,2002,Overall Rating,2002-1,3
123209,2002,Overall Rating,2002-1,1
90918,2002,Overall Rating,2002-1,4
87600,2002,Overall Rating,2002-1,4
90973,2002,Overall Rating,2002-1,4
87657,2002,Overall Rating,2002-1,3
87566,2002,Overall Rating,2002-1,5
114600,2002,Overall Rating,2002-1,3
123225,2002,Overall Rating,2002-1,2.6
87656,2002,Overall Rating,2002-1,1.75
87618,2002,Overall Rating,2002-1,2
87590,2002,Overall Rating,2002-1,2
114608,2002,Overall Rating,2002-1,4.5
90916,2002,Overall Rating,2002-1,5
225108,2002,Overall Rating,2002-1,4
235386,2002,Overall Rating,2002-1,2
90986,2002,Overall Rating,2002-1,5
217510,2002,Overall Rating,2002-1,4
87648,2002,Overall Rating,2002-1,5
111501,2002,Overall Rating,2002-1,3.75
90957,2002,Overall Rating,2002-1,1
87637,2002,Overall Rating,2002-1,5
87645,2002,Overall Rating,2002-1,3.6
111500,2002,Overall Rating,2002-1,5
87638,2002,Overall Rating,2002-1,3.25
114595,2002,Overall Rating,2002-1,5
304277,2002,Overall Rating,2002-1,3
111486,2002,Overall Rating,2002-1,2.5
236299,2002,Overall Rating,2002-1,5
111490,2002,Overall Rating,2002-1,3.5
114591,2002,Overall Rating,2002-1,1
87654,2002,Overall Rating,2002-1,5
119382,2002,Overall Rating,2002-1,1
77888,2002,Overall Rating,2002-1,4
504815,2002,Overall Rating,2002-1,2
77866,2002,Overall Rating,2002-1,5
223049,2002,Overall Rating,2002-1,4
77809,2002,Overall Rating,2002-1,4
235430,2002,Overall Rating,2002-1,5
248069,2002,Overall Rating,2002-1,2.5
77729,2002,Overall Rating,2002-1,4
77859,2002,Overall Rating,2002-1,1
119414,2002,Overall Rating,2002-1,3
119464,2002,Overall Rating,2002-1,3
113221,2002,Overall Rating,2002-1,2
82578,2002,Overall Rating,2002-1,5
249696,2002,Overall Rating,2002-1,2.6
77274,2002,Overall Rating,2002-1,3.333333333
119443,2002,Overall Rating,2002-1,5
124956,2002,Overall Rating,2002-1,4
76061,2002,Overall Rating,2002-1,5
223013,2002,Overall Rating,2002-1,1
77874,2002,Overall Rating,2002-1,4
77944,2002,Overall Rating,2002-1,5
76442,2002,Overall Rating,2002-1,4.5
77917,2002,Overall Rating,2002-1,5
77243,2002,Overall Rating,2002-1,2.333333333
78694,2002,Overall Rating,2002-1,5
77700,2002,Overall Rating,2002-1,2
77827,2002,Overall Rating,2002-1,5
595476,2002,Overall Rating,2002-1,3
223041,2002,Overall Rating,2002-1,5
77804,2002,Overall Rating,2002-1,1
224279,2002,Overall Rating,2002-1,5
112132,2002,Overall Rating,2002-1,2.25
102463,2002,Overall Rating,2002-1,4
96712,2002,Overall Rating,2002-1,2
102510,2002,Overall Rating,2002-1,3
102480,2002,Overall Rating,2002-1,4
96737,2002,Overall Rating,2002-1,2
122332,2002,Overall Rating,2002-1,5
96730,2002,Overall Rating,2002-1,1
102503,2002,Overall Rating,2002-1,1
217682,2002,Overall Rating,2002-1,2
102710,2002,Overall Rating,2002-1,1.5
247008,2002,Overall Rating,2002-1,3
112134,2002,Overall Rating,2002-1,3.666666667
122325,2002,Overall Rating,2002-1,4
102466,2002,Overall Rating,2002-1,3.666666667
224280,2002,Overall Rating,2002-1,5
122315,2002,Overall Rating,2002-1,5
224221,2002,Overall Rating,2002-1,5
99762,2002,Overall Rating,2002-1,4
99455,2002,Overall Rating,2002-1,3.333333333
119721,2002,Overall Rating,2002-1,1
83500,2002,Overall Rating,2002-1,1
79913,2002,Overall Rating,2002-1,5
80131,2002,Overall Rating,2002-1,1
82443,2002,Overall Rating,2002-1,2
258654,2002,Overall Rating,2002-1,4
112280,2002,Overall Rating,2002-1,5
80126,2002,Overall Rating,2002-1,1
80004,2002,Overall Rating,2002-1,2.5
650054,2002,Overall Rating,2002-1,4
119735,2002,Overall Rating,2002-1,3
79942,2002,Overall Rating,2002-1,1
240889,2002,Overall Rating,2002-1,4
223025,2002,Overall Rating,2002-1,1
224353,2002,Overall Rating,2002-1,2
80167,2002,Overall Rating,2002-1,1
76741,2002,Overall Rating,2002-1,4.5
80106,2002,Overall Rating,2002-1,1
80223,2002,Overall Rating,2002-1,3.5
556822,2002,Overall Rating,2002-1,4
80266,2002,Overall Rating,2002-1,1
80582,2002,Overall Rating,2002-1,2.5
80198,2002,Overall Rating,2002-1,3
80133,2002,Overall Rating,2002-1,1
80562,2002,Overall Rating,2002-1,2
80602,2002,Overall Rating,2002-1,4
79971,2002,Overall Rating,2002-1,5
79981,2002,Overall Rating,2002-1,2
258655,2002,Overall Rating,2002-1,1
83361,2002,Overall Rating,2002-1,4.6
119728,2002,Overall Rating,2002-1,1.5
115598,2002,Overall Rating,2002-1,4
