category,hotel,value,name
service,99024,2.5,Venetian Inn & Suites Houston Airport
service,239857,0.8,Studio 6 Houston - Spring
service,240481,1.0,Super 8 Motel - Houston/I-10W@Hwy6
service,73470,1.5,Greenway Inn & Suites
service,257503,1.0,Champions Lodge
service,99131,1.2,Rodeway Inn & Suites Medical Center
service,247110,2.2,Quality Suites Bush/IAH Airport West
service,109734,1.6,Quality Inn & Suites Galleria/Westchase
service,98934,2.7,Knights Inn Houston
service,244316,4.0,Studio 6 Houston West
service,99045,1.0,Americas Best Value Inn & Suites- Houston Airport North
service,141893,2.8,Hampton Inn & Suites
service,244314,2.6,Motel 6 Houston Reliant Park
service,107743,1.0,Northgate Inn and Suites Houston
service,108006,3.4,Quality Inn Houston
service,570195,1.0,Executive Lodging at 3000 Sage
service,141902,2.3,Days Inn West Houston
service,107911,2.8,Hotel 31 Houston Near the Galleria
service,292556,3.4,Holiday Inn Express Houston - Hobby Airport
service,244196,1.5,Preet Inn
service,240435,1.8,Red Carpet Inn Houston
service,651629,1.0,Symphony Inn Houston
service,254040,2.0,Moonlight Inn and Suites
service,223182,2.0,InTown Suites Houston Intercontinental
service,98936,3.7,Courtyard by Marriott Houston Brookhollow
service,239848,0.0,Americas Best Value Inn & Suites-Houston North
service,649739,2.5,Camelot Inn & Suites
service,98986,3.0,Hospitality Inn
service,98981,3.0,Holiday Inn Houston Southwest-Hwy 59S @ Beltway 8
service,217739,0.0,Wellesley Suites Memorial
service,108029,1.0,Houston Days Inn Downtown / Medical Center
service,558038,2.7,Regency Inn & Suites
service,603138,1.0,Scottish Inn & Suites Houston - Eastex Freeway
service,98970,1.5,Brentwood Inn
service,223138,2.0,Americas Best Value Classic Inn & Suites- Downtown
service,107751,4.0,Knights Inn Houston Raceway/Bush Airport
service,240440,1.0,Passport Inn & Suites Houston
service,1751874,3.0,Executive Inn & Suites Houston
service,223194,2.5,Scottish Inn & Suites
service,1858908,5.0,Americas Best Value Inn & Suites-Houston/FM 249
service,1224357,4.0,La Quinta Woodlands Hotel
service,503400,4.1,BEST WESTERN PLUS Sam Houston Inn & Suites
service,223175,2.8,Red Roof Inn - Houston Northwest
service,223180,4.4,Comfort Inn Hwy. 290/NW
service,570092,3.0,Scottish Inns & Suites Houston - Hwy 6 South
service,107768,3.9,Comfort Inn & Suites Houston
service,108145,2.6,Hotel Marquis
service,99017,2.1,La Quinta Inn Houston East
service,1484167,4.0,Palace Inn Sam Houston Parkway North
service,653244,3.8,Galleria Garden Hotel/Apartments
service,252340,3.7,Super 8 Houston /I-10 & 610
service,107952,3.3,Candlewood Suites Houston-At Citycentre-Energy Corridor
service,223187,3.4,TownePlace Suites Houston Northwest
service,108047,3.6,Rodeway Inn & Suites Hwy 290 NW
service,108151,4.0,Econo Lodge Houston Lobby
service,99041,2.9,La Quinta Inn Houston Wilcrest
service,107930,3.1,Candlewood Suites Houston by the Galleria
service,631351,4.0,Rodeway Inn Houston
service,244310,2.8,Motel 6 Houston Hobby Airport
service,1971740,5.0,Grand Inn & Suites
service,1577352,2.5,Baymont Inn and Suites Houston I-45 North
service,557401,0.0,Braeswood Hotel & Convention Center
service,1138042,4.3,Candlewood Suites Houston West
service,223157,3.7,Holiday Inn Express Northwest / Brookhollow
service,108060,4.0,Candlewood Suites Houston/Clear Lake
service,99082,2.3,Super 8 Houston/I-45 North
service,108066,3.4,Crowne Plaza Hotel Houston- Medical Center
service,98955,3.9,Baymont Inn & Suites Houston East
service,240483,3.3,Super 8 Houston / Brookhollow / NW
service,559409,3.0,Regency Suites Bush Airport
service,109748,3.2,Residence Inn Houston Medical Center/Reliant Park
service,223176,2.4,Residence Inn Intercontinental Airport at Greenspoint
service,258875,3.2,Comfort Suites
service,223136,2.3,La Quinta Inn & Suites Houston Southwest
service,107867,2.9,Residence Inn Houston Westchase
service,223140,3.4,Comfort Suites
service,240441,3.1,Red Carpet Inn Hobby Airport
service,217741,2.6,Red Roof Inn Houston IAH Airport
service,107812,3.5,BEST WESTERN Windsor Suites
service,99015,3.2,La Quinta Inn Houston Cy-Fair
service,99073,3.4,Comfort Inn & Suites Greenway Plaza/SW Freeway
service,223169,2.5,Microtel Inn & Suites by Wyndham Houston
service,2160816,5.0,Woodland Inn & Suites
service,223177,3.8,Quality Inn & Suites Reliant Park/Medical Center
service,239356,3.9,Americas Best Value Inn & Suites Houston FM 1960/I-45
service,1526288,4.0,Scottish Inns & Suites Timber
service,1889985,5.0,Palace Inn and Suites - Willowbrook
service,240437,3.6,Country Inn & Suites Houston Hobby Airport
service,1212489,3.9,Candlewood Suites Houston Medical Center
service,107859,2.9,Comfort Suites - Near the Galleria
service,116265,3.8,Best Western Plus - North Houston Inn & Suites
service,109742,3.2,Hampton Inn Houston Northwest
service,107718,2.6,America's Inn
service,1485278,4.3,Quality Inn & Suites North
service,1724101,4.1,Howard Johnson Houston
service,99014,3.2,Days Inn Houston
service,2531544,3.7,Super 8 Houston I-45
service,1583951,3.4,Comfort Suites West Energy Corridor
service,108010,3.7,Comfort Inn East
service,223172,4.3,Red Roof Inn Houston West
service,98997,2.5,Hilton Houston Southwest
service,1642905,3.6,Scotts Inn & Suite
service,107994,4.1,Crossland Economy Studios - Houston - Northwest
service,1146180,4.5,Days Inn Houston
service,107913,3.1,Extended Stay America - Houston - Galleria - Westheimer
service,107993,2.6,Crossland Economy Studios - Houston - West Oaks
service,223192,3.0,Extended Stay America - Houston - Med. Ctr. - Reliant Pk. - Braeswood Blvd.
service,223150,2.9,Hampton Inn Houston - I-10W - Energy Cor
service,99104,3.6,Hyatt North Houston
service,98999,4.2,Courtyard Houston I-10 West/Energy Corridor
service,124460,3.1,Comfort Suites Willowbrook / Technology Corridor
service,223143,3.2,Courtyard Houston Intercontinental Airport
service,257022,3.8,BEST WESTERN Fountainview Inn & Suites Near Galleria
service,223144,4.2,Courtyard by Marriott Houston Northwest
service,3393901,5.0,Hilton Garden Inn Houston NW America Plaza
service,107990,3.5,Extended Stay America - Houston - Greenway Plaza
service,107957,3.2,TownePlace Suites Central/Northwest Freeway
service,223167,3.8,Hotel Derek Houston Galleria
service,73481,4.2,Holiday Inn Express - Houston
service,98959,3.5,Holiday Inn Houston Reliant Park Area
service,107844,4.2,Residence Inn Houston by The Galleria
service,1549134,4.0,Houston Marriott South at Hobby Airport
service,257507,2.8,Four Points by Sheraton Houston Southwest
service,217746,3.2,Extended Stay America - Houston - Galleria - Uptown
service,1416435,4.2,TownePlace Suites Houston Intercontinental Airport
service,109751,3.6,Hampton Inn - Brookhollow
service,1174691,3.4,Aloft Houston by the Galleria
service,1158744,5.0,Candlewoods Suites Medical Center
service,268149,3.3,Courtyard by Marriott Houston Downtown
service,240439,3.0,Hilton Garden Inn Houston / Bush Intercontinental Airport
service,107783,3.2,Comfort Suites Bush Intercontinental Airport
service,99120,4.0,BEST WESTERN Plaza Hotel & Suites at Medical Center Houston
service,98966,3.9,Wyndham Houston West Energy Corridor
service,1733514,4.3,Candlewood Suites Houston IAH / Beltway 8
service,223152,4.6,Hampton Inn Houston - Willowbrook Mall
service,98996,3.6,Hilton Houston Plaza/Medical Center
service,223165,3.2,Homewood Suites by Hilton Houston - Westchase
service,1222237,4.2,La Quinta Baytown Hotel
service,223153,4.6,Hampton Inn & Suites Houston-Cypress Station
service,108002,4.3,HYATT house Houston/Energy Corridor
service,123943,3.9,Days Inn Houston - Galleria Mall
service,107947,2.9,La Quinta Inn & Suites Houston West Park 10
service,223139,2.9,HYATT house Houston/Galleria
service,108142,4.0,John F. Kennedy Inn and Suites
service,107929,4.1,Candlewood Suites Houston Westchase
service,107776,4.3,Quality Suites North
service,99103,3.3,Sheraton Suites Houston Near The Galleria
service,223171,3.4,Super 8 Houston
service,1197126,3.5,Holiday Inn Express Hotel & Suites Houston West-Energy Corridor
service,223142,2.4,Country Inn & Suites Intercontinental Airport
service,268145,3.6,Holiday Inn Express Houston - Memorial Park Area
service,107711,4.2,Extended Stay America - Houston - Willowbrook - HWY 249
service,98954,2.8,DoubleTree Suites by Hilton Houston by the Galleria
service,1236696,4.4,Super 8 IAH West / Greenspoint
service,223159,3.5,Holiday Inn Express Houston-Downtown Convention Center
service,98944,3.3,Hilton Houston Post Oak
service,1645644,4.4,Fairfield Inn & Suites Houston Intercontinental Airport
service,124937,3.2,La Quinta Inn Houston Greenway Plaza
service,223155,3.8,La Quinta Inn & Suites Willowbrook
service,674319,2.1,Comfort Suites
service,107954,3.3,TownePlace Suites Houston I-10 West/Energy Corridor
service,1657341,3.7,Courtyard Houston Medical Center
service,98991,3.0,Houston Marriott Medical Center
service,98943,3.7,Doubletree Hotel Houston Downtown
service,107908,4.1,Fairfield Inn Houston / Westchase
service,878451,4.1,MainStay Suites Texas Medical Center/Reliant Park
service,1103488,4.1,Sheraton Houston West
service,223228,3.2,Holiday Inn Express Houston-NW (Highway 290 and FM 1960)
service,99066,4.0,Springhill Suites Houston Medical Center/Reliant Park
service,223193,3.3,Wingate by Wyndham Houston / Willowbrook
service,217744,5.0,Extended Stay America - Houston - Willowbrook
service,657890,4.4,Homewood Suites by Hilton Houston West-Energy Corridor
service,1649109,4.0,Houston Marriott Energy Corridor
service,223166,3.2,Homewood Suites by Hilton Houston - Willowbrook Mall
service,1863251,4.7,Holiday Inn Houston West-Westway Park
service,645215,3.6,La Quinta Inn & Suites Houston 1960
service,107826,3.1,Houston Marriott North
service,1575212,4.0,Holiday Inn Houston West Energy Corridor
service,99135,3.0,Westin Oaks Houston at the Galleria
service,288460,3.8,Courtyard Houston-West University
service,99058,3.5,Hilton Houston NASA Clear Lake
service,108061,3.6,SpringHill Suites Houston Brookhollow
service,99010,3.0,JW Marriott Houston
service,1556786,4.8,Sleep Inn & Suites Hwy 290/NW Freeway
service,99007,4.1,Doubletree Houston Intercontinental Airport
service,223134,4.5,SpringHill Suites Houston Hobby Airport
service,108004,3.3,Houston Days Inn & Suites
service,223189,3.9,Crestwood Suites Houston 290-Galleria
service,223147,3.1,Fairfield Inn & Suites Houston I-10 West / Energy Corridor
service,107982,3.7,Holiday Inn Houston Northwest Willowbrook
service,99006,3.1,Hyatt Regency Houston
service,277894,3.0,Homewood Suites by Hilton HOU Intercontinental Airport
service,98956,3.8,Holiday Inn Hotel & Suites Houston Medical Center
service,1440365,4.5,Sleep Inn & Suites
service,671200,3.4,La Quinta Inn & Suites Houston Hobby Airport
service,286987,3.2,Inn at the Ballpark
service,99116,3.4,Crowne Plaza Houston Downtown
service,609502,4.5,Staybridge Suites Houston-Willowbrook
service,107856,2.8,La Quinta Inn & Suites Houston Galleria Area
service,226753,3.6,Super 8 Houston/NASA/Webster Area
service,99110,3.8,The Lancaster
service,107986,4.7,Extended Stay America - Houston - Katy Freeway
service,220094,4.0,Sonesta ES Suites Houston
service,107991,4.5,Drury Inn & Suites Houston West
service,1026192,4.4,Comfort Suites Hobby Airport Houston
service,293234,3.6,Holiday Inn Express Hotel & Suites Houston Medical Center
service,812523,4.6,La Quinta Inn & Suites Houston - Westchase
service,1237172,4.9,Candlewood Suites Houston NW - Willowbrook
service,286988,3.8,Residence Inn Houston West University
service,268151,3.3,Residence Inn by Marritt Houston Downtown /Convention Center
service,525232,3.6,Club Quarters in Houston
service,223173,2.1,Red Roof Inn - Houston - Westchase
service,239865,4.2,BEST WESTERN Northwest Inn & Suites
service,1724007,4.4,Candlewood Suites I-10 East
service,1478311,4.8,Homewood Suites by Hilton Houston Northwest Cy-Fair
service,223227,4.2,Wingate by Wyndham Bush Intercontinental Airport IAH
service,1100784,4.1,Jesse H. Jones Rotary House International
service,1852890,4.7,La Quinta Inn & Suites Houston Energy Corridor
service,266145,4.4,Residence Inn Houston Northwest/Willowbrook
service,99137,3.2,Hilton Houston North
service,570279,4.0,Hilton Garden Inn Houston Galleria
service,1846923,4.9,Sleep Inn & Suites I-45 / Airtex
service,631349,4.4,Hampton Inn & Suites Houston-Bush Intercontinental Airport
service,608401,4.4,Homewood Suites Houston near the Galleria
service,641273,4.0,Hotel ZaZa Houston
service,622987,4.1,Modern B&B
service,530458,4.5,La Quinta Inn & Suites Houston Clay Road
service,223145,4.2,Embassy Suites Houston - Near the Galleria
service,596013,4.1,Indigo Houston at the Galleria
service,518371,3.7,Hilton Garden Inn Houston Westbelt
service,1511925,4.4,La Quinta Inn & Suites Houston Channelview
service,99055,3.4,Omni Houston Hotel Westside
service,1879027,4.5,Four Points by Sheraton Houston Hobby Airport
service,223146,2.7,Extended Stay America - Houston - Westchase - Richmond
