category,hotel,value,name
cleanliness,79971,3.4,Catamaran Resort Hotel
cleanliness,518294,4.4,Hilton Garden Inn San Diego/Rancho Bernardo
cleanliness,212059,3.6,Holiday Inn San Diego North Miramar
cleanliness,79981,3.2,Comfort Inn & Suites Zoo / SeaWorld Area
cleanliness,258655,3.6,W San Diego
cleanliness,83361,2.6,Bahia Resort Hotel
cleanliness,79902,3.5,BEST WESTERN PLUS Bayside Inn
cleanliness,80654,3.7,La Quinta Inn San Diego Old Town / Airport
cleanliness,119728,3.1,Paradise Point Resort & Spa
cleanliness,628619,4.5,The Sofia Hotel
cleanliness,80590,4.1,The Westgate Hotel
cleanliness,601802,4.6,Wyndham Harbour Lights
cleanliness,115598,3.2,DoubleTree by Hilton Hotel San Diego - Mission Valley
cleanliness,223220,4.4,Holiday Inn Express San Diego-Sorrento Valley
cleanliness,112258,3.4,Gaslamp Plaza Suites
cleanliness,119730,3.6,Humphreys Half Moon Inn & Suites
cleanliness,223027,4.4,Extended Stay America - San Diego - Sorrento Mesa
cleanliness,80109,3.7,Embassy Suites San Diego Bay - Downtown
cleanliness,112247,4.2,Balboa Park Inn
cleanliness,226619,3.2,Ocean Beach Hotel
cleanliness,112281,3.2,The Beach Cottages
cleanliness,83078,3.9,Residence Inn San Diego Central
cleanliness,223973,3.6,Courtyard San Diego Central
cleanliness,1011240,4.5,Hilton San Diego Bayfront
cleanliness,83646,3.8,The Dana on Mission Bay
cleanliness,272662,4.4,Fairfield Inn & Suites San Diego Old Town
cleanliness,79907,3.1,BEST WESTERN PLUS Blue Sea Lodge
cleanliness,80129,4.5,Hampton Inn San Diego - Kearny Mesa
cleanliness,625335,4.6,Andaz San Diego
cleanliness,78135,4.2,Residence Inn San Diego Rancho Bernardo / Carmel Mountain Ranch
cleanliness,244513,4.5,Staybridge Suites San Diego Rancho Bernardo Area
cleanliness,113905,4.4,Westin San Diego
cleanliness,80113,3.8,Embassy Suites San Diego - La Jolla
cleanliness,218780,2.2,Westin Gaslamp Quarter - San Diego
cleanliness,81352,3.9,BEST WESTERN Lamplighter Inn & Suites at SDSU
cleanliness,83245,3.9,Bristol Hotel
cleanliness,115613,4.5,The Inn at Sunset Cliffs
cleanliness,80227,3.8,San Diego Marriott Marquis & Marina
cleanliness,119732,3.8,Hampton Inn San Diego Airport / SeaWorld
cleanliness,1732285,4.5,Embassy Suites Riverwalk
cleanliness,2340364,4.8,Microtel Inn & Suites by Wyndham San Antonio/Near SeaWorld/Lackland AFB
cleanliness,123559,3.5,Drury Inn & Suites Riverwalk
cleanliness,99458,3.5,Omni La Mansion del Rio
cleanliness,1236032,4.7,Drury Inn & Suites Near La Cantera Parkway
cleanliness,258651,4.4,Hotel Valencia Riverwalk
cleanliness,2039194,4.9,Pinn Road Inn & Suites
cleanliness,645211,4.4,La Quinta Inn & Suites San Antonio Medical Center
cleanliness,1175533,4.1,La Quinta Inn & Suites San Antonio The Dominion
cleanliness,240451,4.3,Drury Inn & Suites San Antonio Northwest Medical Center
cleanliness,497953,3.5,Microtel Inn & Suites by Wyndham San Antonio Airport North
cleanliness,223058,3.6,Red Roof Inn San Antonio - Airport
cleanliness,1200881,4.1,Wyndham La Cascada
cleanliness,223712,3.7,La Quinta Inn & Suites San Antonio Airport
cleanliness,223706,3.6,Hampton Inn San Antonio Downtown (River Walk)
cleanliness,108703,3.6,Hyatt Place San Antonio Northwest
cleanliness,676703,4.7,TownePlace Suites San Antonio Northwest
cleanliness,953773,4.3,Comfort Suites North IH 35
cleanliness,1116329,4.3,Residence Inn San Antonio Seaworld
cleanliness,108932,3.4,BEST WESTERN PLUS Fiesta Inn
cleanliness,108408,3.3,Hyatt Place San Antonio Airport
cleanliness,2064903,4.3,Fairfield Inn & Suites San Antonio Downtown/Alamo Plaza
cleanliness,108533,2.5,Fairfield Inn San Antonio Airport/North Star Mall
cleanliness,99420,3.4,Courtyard by Marriott San Antonio Airport
cleanliness,99487,3.4,Marriott San Antonio Riverwalk
cleanliness,99445,3.7,Holiday Inn San Antonio Downtown
cleanliness,108534,4.2,Drury Inn & Suites San Antonio Airport
cleanliness,1165284,4.6,Sleep Inn & Suites at Six Flags
cleanliness,108382,4.0,Residence Inn San Antonio Airport
cleanliness,223697,2.6,Hilton San Antonio Hill Country Hotel & Spa
cleanliness,1562631,2.6,Candlewood Suites San Antonio NW Near Seaworld
cleanliness,99416,3.0,Crowne Plaza Airport
cleanliness,99499,3.7,DoubleTree by Hilton San Antonio Downtown
cleanliness,1465109,4.3,Holiday Inn San Antonio NW - Seaworld Area
cleanliness,108936,4.6,Pear Tree Inn San Antonio Northeast
cleanliness,108736,2.8,Extended Stay Deluxe - San Antonio - Colonnade
cleanliness,223696,3.0,Red Roof Inn San Antonio West Sea World
cleanliness,465532,3.3,Super 8 San Antonio/Riverwalk Area
cleanliness,108913,3.9,Howard Johnson Express Inn San Antonio
cleanliness,1164501,4.2,Comfort Inn & Suites Near Medical Center
cleanliness,99450,3.5,San Antonio Marriott Northwest
cleanliness,99441,2.8,Holiday Inn San Antonio International Airport
cleanliness,1163830,4.3,Sleep Inn & Suites near Seaworld
cleanliness,99464,2.2,La Quinta Inn San Antonio Sea World Ingram Park
cleanliness,225490,2.4,Microtel Inn & Suites by Wyndham San Antonio North East
cleanliness,273367,2.6,Quality Inn & Suites Northwoods
cleanliness,108791,3.2,Days Inn San Antonio Northwest / Seaworld
cleanliness,1164348,4.1,Holiday Inn Express Hotel & Suites San Antonio
cleanliness,108943,3.2,Comfort Suites San Antonio at Rittiman
cleanliness,1021483,2.9,Days Inn San Antonio at Palo Alto
cleanliness,108171,3.6,Holiday Inn Lackland
cleanliness,604553,3.1,Motel 6 San Antonio - Bandera Road
cleanliness,99418,2.0,Americas Best Value Inn-AT&T Center
cleanliness,1165123,3.6,Quality Inn
cleanliness,108642,2.5,Baymont San Antonio Wurzbach / Medical Center
cleanliness,108206,3.5,Days Inn San Antonio Southeast
cleanliness,240568,2.5,Super 8 San Antonio Airport
cleanliness,590753,2.5,American Motel
cleanliness,240452,0.0,Park Inn San Antonio North
cleanliness,259215,0.0,Budget Lodge Inn & Suites
cleanliness,108577,0.4,Sierra Royale
cleanliness,244322,2.8,Motel 6 San Antonio West - Seaworld
cleanliness,1235859,2.5,Camino Real Motel
cleanliness,99497,3.4,Days Inn NW Medical Center
cleanliness,99527,2.4,Motel 6 San Antonio NW-Medical Center
cleanliness,240457,5.0,Passport Inn San Antonio
cleanliness,99513,2.1,Rodeway Inn Downtown
cleanliness,108190,2.9,Days Inn San Antonio/AT&T Center
cleanliness,99508,1.8,Knights Inn San Antonio East
cleanliness,223690,1.7,InTown Suites San Antonio East
cleanliness,1528530,2.2,Motel 6 San Antonio
cleanliness,223703,2.3,Econo Lodge Central San Antonio
cleanliness,99536,1.9,Red Roof Inn Lackland
cleanliness,293240,2.2,Rodeway Inn San Antonio Near AT&T Center
cleanliness,223687,1.2,Villager Lodge San Antonio
cleanliness,108935,2.0,Holiday Inn Express San Antonio North (I-35 and Judson)
cleanliness,108608,1.9,Days Inn Fiesta Park
cleanliness,108939,2.4,Quality Inn & Suites San Antonio East
cleanliness,831103,1.1,Economy Inn San Antonio
cleanliness,501431,1.0,Delux Inn San Antonio
cleanliness,222987,1.7,Days Inn Downtown/Riverwalk
cleanliness,99502,1.6,Knights Inn San Antonio/Fort Sam Houston
cleanliness,625462,1.0,Palace Inn
cleanliness,643318,1.1,Alamo Lodge
cleanliness,295487,1.0,Best Value Inn of San Antonio/Kirby
cleanliness,530411,2.2,Rodeway Inn & Suites Fiesta Park
cleanliness,260945,1.8,InTown Suites San Antonio West
cleanliness,108219,2.4,Travelodge San Antonio ATT Center / I-10 E
cleanliness,577395,3.0,Budget Suites of America San Antonio
cleanliness,99521,2.2,Super 8 Downtown Riverwalk
cleanliness,108857,1.1,Knights Inn San Antonio/Medical Center/Fiesta Area
cleanliness,99542,2.7,Fiesta Inn & Suites
cleanliness,108933,2.8,Days Inn San Antonio
cleanliness,239357,1.5,Super 8 Motel San Antonio Near Seaworld
cleanliness,472231,1.0,Rodeway Inn near Ft. Sam Houston
cleanliness,247839,1.6,Motel 6 San Antonio North
cleanliness,491073,2.3,Travel Inn
cleanliness,99431,2.0,American Inn & Suites Lackland
cleanliness,99501,2.5,Hallmark Inn & Suites
cleanliness,108303,2.8,Econo Lodge Inn & Suites Coliseum
cleanliness,239967,2.1,Studio 6 San Antonio - Six Flags
cleanliness,239973,3.2,Motel 6 San Antonio - Ft. Sam Houston
cleanliness,108426,3.1,Days Inn Airport
cleanliness,123710,1.5,Oak Hills Medical Center Hotel
cleanliness,108255,1.7,Ramada Limited Downtown
cleanliness,108938,1.4,Days Inn San Antonio/Coliseum/AT&T Center
cleanliness,108253,0.9,Super 8 San Antonio/ATT Center/Coliseum Area
cleanliness,239968,2.5,Studio 6 San Antonio - Medical Center
cleanliness,259218,2.1,Carefree Inn Lackland
cleanliness,1643616,2.0,Pecan Valley Inn
cleanliness,99514,1.7,Rodeway Inn at Six Flags
cleanliness,244319,1.3,Motel 6 San Antonio East
cleanliness,244321,1.6,Motel 6 San Antonio South
cleanliness,108934,1.7,HomeGate Studios & Suites San Antonio Fiesta Park
cleanliness,99414,1.6,Town House Motel - Airport
cleanliness,1209962,3.0,Motel 6 San Antonio Medical Center South
cleanliness,108941,2.7,Econo Lodge East
cleanliness,559584,2.0,Siesta Inn and Suites
cleanliness,239972,2.0,Motel 6 San Antonio - Fiesta
cleanliness,260935,2.2,InTown Suites San Antonio Northeast
cleanliness,108158,3.1,Travelodge San Antonio Lackland
cleanliness,99506,2.4,Motel 6 San Antonio Northeast
cleanliness,108252,2.4,Super 8 San Antonio/Downtown I-10 East
cleanliness,99540,2.0,Travelodge San Antonio Alamo
cleanliness,239966,2.0,InTown Suites Leon Valley South
cleanliness,239974,3.2,Budgetel Inn & Suites
cleanliness,99452,2.4,Mid Towne Inn and Suites
cleanliness,240487,2.3,Super 8 - Sea World / Medical Center
cleanliness,550977,2.7,Econo Lodge
cleanliness,249576,2.1,La Villita Inn San Antonio
cleanliness,1743841,2.0,San Pedro Motel
cleanliness,483322,3.7,Rose Park Inn
cleanliness,1146357,4.0,Value Place Zarzamora
cleanliness,122790,1.9,Homestead Studio Suites - San Antonio - Airport
cleanliness,1486231,3.4,SpringHill Suites San Antonio Medical Center/Six Flags
cleanliness,99472,2.7,La Quinta Inn San Antonio South Park
cleanliness,99439,3.1,Hampton Inn San Antonio NW/Sea World Area
cleanliness,99446,3.2,Quality Inn & Suites Near Fort Sam Houston
cleanliness,631249,4.0,Holiday Inn Express Hotel & Suites San Antonio South
cleanliness,108931,3.1,Comfort Inn Fiesta Park Area
cleanliness,99515,1.9,Mi Casa Inn & Suites
cleanliness,108154,3.4,Quality Inn Downtown South
cleanliness,2554690,3.0,Studio 6 San Antonio - Lackland AFB
cleanliness,645210,4.1,Value Place San Antonio
cleanliness,1177260,2.6,Quality Inn Medical Center
cleanliness,73250,3.0,Extend A Suites-San Antonio
cleanliness,1209478,3.0,Motel 6 -San Antonio Downtown - Market Square
cleanliness,216867,1.7,Days Inn San Antonio - Interstate Highway 35 North
cleanliness,108831,2.8,Super 8 Motel Six Flags San Antonio
cleanliness,122791,2.6,Candlewood Suites - San Antonio NW Medical Center
cleanliness,1014760,2.7,Hotel Mimosa Riverwalk
cleanliness,99419,1.9,Red Roof Inn San Antonio I-10 East
cleanliness,99417,3.7,La Quinta Inn San Antonio AlamoDome South
cleanliness,99461,2.5,La Quinta Inn Airport West
cleanliness,534695,2.4,Regency Inn & Suites San Antonio
cleanliness,108251,2.8,Days Inn Alamo/Riverwalk
cleanliness,226014,3.1,La Quinta Inn San Antonio I-10 East
cleanliness,497952,2.3,Americas Best Value Inn - San Antonio / Lackland AFB
cleanliness,108574,2.6,Sleep Inn Medical Center Northwest
cleanliness,614530,4.0,Safari Inn Motel
cleanliness,108260,2.3,The Antonian
cleanliness,1201142,4.5,Fairfield Inn & Suites San Antonio North/Stone Oak
cleanliness,254917,3.1,Quality Suites
cleanliness,1177887,3.5,Comfort Inn & Suites near the AT&T Center
cleanliness,239971,3.4,Motel 6 San Antonio - Alamo Dome South
cleanliness,614476,3.2,River Inn Motel
cleanliness,252502,3.6,Holiday Inn Express Hotel & Suites San Antonio-Downtown Market Area
cleanliness,99518,3.9,Hilton San Antonio Airport
cleanliness,146138,3.5,The Fairmount
cleanliness,99421,3.6,Courtyard San Antonio Medical Center
cleanliness,73236,2.4,Days Inn San Antonio/Near Lackland AFB
cleanliness,534709,3.2,Econo Lodge Inn & Suites Fiesta Park
cleanliness,124464,2.4,Rodeway Inn at Lackland AFB
cleanliness,108444,2.7,Super 8 San Antonio
cleanliness,621644,4.1,Quality Inn & Suites Bandera Point
cleanliness,1741181,5.0,Matador Motel
cleanliness,569882,4.1,Holiday Inn Express SeaWorld
cleanliness,223229,3.5,Holiday Inn Express San Antonio Airport North
cleanliness,590278,4.1,Holiday Inn Express Hotel & Suites San Antonio I-10 Northwest
cleanliness,1382269,4.1,Comfort Inn Near SeaWorld
cleanliness,99504,3.3,DoubleTree Hotel San Antonio Airport
cleanliness,99485,3.3,La Quinta Inn San Antonio I-35 N at Rittiman Rd
cleanliness,108701,2.9,Hawthorn Suites by Wyndham San Antonio - E Loop
cleanliness,223689,2.3,InTown Suites San Antonio Airport
cleanliness,248120,3.8,Alamo Inn Motel
cleanliness,99476,3.2,La Quinta Inn San Antonio I-35 N at Toepperwein
cleanliness,99451,2.9,Holiday Inn Riverwalk
cleanliness,320058,2.8,Travelodge San Antonio/Near Fort Sam/ATT Center
cleanliness,223662,3.3,Americas Best Value Inn - Medical Center
cleanliness,1139002,4.0,Holiday Inn Express San Antonio North
cleanliness,108339,2.9,Fairfield Inn San Antonio Downtown/Market Square
cleanliness,108522,3.0,Hill Country Inn & Suites
cleanliness,108562,3.0,Courtyard by Marriott San Antonio Airport / North Star Mall
cleanliness,99480,3.2,La Quinta Inn San Antonio Vance Jackson
cleanliness,508084,4.4,Comfort Inn & Suites Airport
cleanliness,247773,4.3,Riverwalk Plaza Hotel & Suites
cleanliness,108391,3.4,Comfort Suites Airport North
cleanliness,217757,3.9,El Tropicano Riverwalk Hotel
cleanliness,108233,4.4,Residence Inn San Antonio Downtown / Market Square
cleanliness,2549268,4.5,MainStay Suites
cleanliness,1212773,4.1,Wyndham Riverside Suites Hotel San Antonio
cleanliness,108922,4.1,M-Star San Antonio SeaWorld
cleanliness,108364,3.1,BEST WESTERN Alamo Suites
cleanliness,108487,3.4,Pear Tree Inn San Antonio Airport
cleanliness,268525,3.6,Quality Inn near Seaworld
cleanliness,108250,3.2,Crowne Plaza San Antonio Riverwalk
cleanliness,99531,3.5,The Menger Hotel
cleanliness,73242,3.3,BEST WESTERN Ingram Park Inn
cleanliness,108676,3.1,Howard Johnson San Antonio/Near Balcones Heights
cleanliness,99495,2.7,Howard Johnson Inn & Suites San Antonio
cleanliness,1479977,4.5,Courtyard San Antonio Six Flags at The RIM
cleanliness,574244,3.9,BEST WESTERN Garden Inn
cleanliness,1762310,4.3,Staybridge Suites Stone Oak
cleanliness,99434,3.9,Embassy Suites Hotel San Antonio Northwest / I-10
cleanliness,108361,3.1,Courtyard by Marriott San Antonio Downtown/Market Square
cleanliness,109753,3.1,Hilton Garden Inn San Antonio Airport
cleanliness,99423,3.7,The St. Anthony Riverwalk - A Wyndham Hotel
cleanliness,108521,4.0,Holiday Inn Express San Antonio Airport
cleanliness,99438,4.1,Quality Inn near Six Flags
cleanliness,1657244,4.7,BEST WESTERN PLUS Palo Alto Inn & Suites
cleanliness,99470,2.8,La Quinta Inn San Antonio Market Square
cleanliness,1382347,4.2,Aloft San Antonio Airport
cleanliness,123557,3.5,Red Roof Inn San Antonio Downtown - Riverwalk
cleanliness,108306,3.9,Hotel Indigo San Antonio Riverwalk
cleanliness,247123,4.3,BEST WESTERN PLUS Hill Country Suites
cleanliness,108884,4.2,Ramada - San Antonio Sea World Area
cleanliness,277948,4.4,Holiday Inn Express Hotel & Suites San Antonio Rivercenter Area
cleanliness,99462,3.7,La Quinta Inn & Suites San Antonio Convention Cntr
cleanliness,881708,4.2,Fairfield Inn & Suites San Antonio SeaWorld/Westover Hills
cleanliness,677533,3.9,Courtyard by Marriott San Antonio North
cleanliness,877968,4.2,Staybridge Suites San Antonio NW near Six Flags Fiesta Texas
cleanliness,99433,3.3,Embassy Suites Hotel San Antonio International Airport
cleanliness,1552856,4.0,Candlewood Suites San Antonio N - Stone Oak Area
cleanliness,112240,3.9,Omni San Antonio Hotel
cleanliness,1144554,4.6,Homewood Suites by Hilton Hotel San Antonio North
cleanliness,1676193,4.2,SpringHill Suites San Antonio SeaWorld/Lackland
cleanliness,223708,3.7,Drury Inn & Suites San Antonio Northeast
cleanliness,675441,4.3,BEST WESTERN Posada Ana Inn-Airport
cleanliness,99494,3.7,Marriott Plaza San Antonio
cleanliness,99489,3.8,O'Brien Historic Hotel - an Ascend Collection Hotel
cleanliness,223716,4.1,Homewood Suites by Hilton San Antonio Northwest
cleanliness,645212,4.2,Courtyard by Marriott San Antonio SeaWorld/Lackland
cleanliness,123556,4.3,Hyatt Place San Antonio/Riverwalk
cleanliness,657967,4.4,BEST WESTERN Windsor Pointe Hotel & Suites
cleanliness,575206,3.9,Super 8 San Antonio/I-37 South
cleanliness,99437,3.8,Four Points by Sheraton San Antonio Airport
cleanliness,1200634,4.3,La Quinta Inn & Suites San Antonio Northwest
cleanliness,553469,3.6,Crockett Hotel
cleanliness,112231,3.7,Homewood Suites by Hilton San Antonio-Riverwalk/Downtown
cleanliness,1856923,4.7,Knights Inn/La Hacienda Inn
cleanliness,223057,2.8,SpringHill Suites San Antonio Medical Center/Northwest
cleanliness,1673471,4.7,Holiday Inn Express Hotel & Suites San Antonio NW Near Seaworld
cleanliness,99468,2.9,La Quinta Inn San Antonio Lackland
cleanliness,1858821,4.8,Hampton Inn & Suites San Antonio/Northeast I35
cleanliness,1229785,4.6,BEST WESTERN PLUS San Antonio East Inn & Suites
cleanliness,1156873,4.5,La Quinta Inn & Suites San Antonio Fiesta TX
cleanliness,99530,3.3,Hilton Palacio del Rio
cleanliness,1100734,4.5,Courtyard San Antonio Riverwalk
cleanliness,108908,3.8,BEST WESTERN PLUS Posada Ana Inn - Medical Center
cleanliness,858424,4.4,Grand Hyatt San Antonio
cleanliness,1477755,4.6,BEST WESTERN PLUS Atrea Hotel & Suites
cleanliness,1028312,4.7,Comfort Suites Stone Oak
cleanliness,99440,4.7,Hawthorn Suites by Wyndham San Antonio Northwest Medical Center
cleanliness,1421297,4.7,Candlewood Suites San Antonio Downtown
cleanliness,617387,4.5,Residence Inn San Antonio North-Stone Oak
cleanliness,657719,4.5,Staybridge Suites San Antonio Sunset Station
cleanliness,223715,3.7,Hampton Inn San Antonio - Northwoods
cleanliness,1479635,4.5,Residence Inn San Antonio Six Flags at The RIM
cleanliness,498346,4.7,Hyatt Wild Oak Ranch
cleanliness,1006634,3.8,La Quinta Inn & Suites San Antonio North Stone Oak
cleanliness,1390173,4.4,SpringHill Suites San Antonio Airport
cleanliness,112227,3.5,Sheraton Gunter Hotel San Antonio
cleanliness,1146124,4.4,Hotel Indigo San Antonio At The Alamo
cleanliness,223230,3.7,Staybridge Suites San Antonio Airport
cleanliness,223669,3.6,La Quinta Inn & Suites San Antonio Downtown
cleanliness,99453,3.5,Hyatt Regency Hill Country Resort and Spa
cleanliness,108763,4.4,Staybridge Suites San Antonio NW-Colonnade
cleanliness,2516677,4.8,Eilan Hotel Resort & Spa
cleanliness,1566913,4.7,Staybridge Suites San Antonio Sea World
cleanliness,1514210,4.3,Four Points by Sheraton San Antonio Downtown
cleanliness,99488,3.5,San Antonio Marriott Rivercenter
cleanliness,608241,4.4,Comfort Suites Near Seaworld
cleanliness,1688532,4.7,Holiday Inn San Antonio North-Hill Country
cleanliness,2155705,4.6,Home2 Suites by Hilton San Antonio-Downtown/Near the River Walk
cleanliness,320049,4.3,Drury Inn & Suites San Antonio North
cleanliness,1502048,4.7,Residence Inn San Diego Downtown/Gaslamp Quarter
cleanliness,1237001,4.7,Hotel Indigo San Diego Gaslamp Quarter
cleanliness,498304,4.7,San Diego Marriott Gaslamp Quarter
cleanliness,574448,4.9,Britt Scripps Inn
cleanliness,571835,4.7,Tower23 Hotel
cleanliness,80735,4.3,Country Inn & Suites By Carlson - San Diego North
cleanliness,119769,4.2,Dolphin Motel
cleanliness,1027494,4.8,Courtyard by Marriott San Diego Airport/Liberty Station
cleanliness,543517,4.6,Homewood Suites by Hilton San Diego/Del Mar
cleanliness,678597,4.7,Hilton Garden Inn San Diego Del Mar
cleanliness,112253,4.1,Crystal Pier Hotel & Cottages
cleanliness,112273,3.9,Pacific Terrace Hotel
cleanliness,656430,4.8,Homewood Suites San Diego Airport - Liberty Station
cleanliness,268155,4.6,Residence Inn San Diego Scripps Poway Parkway
cleanliness,73943,3.8,Royal Palms Resort and Spa
cleanliness,781627,4.9,The Grand Del Mar
cleanliness,112229,4.8,Hotel Havana
cleanliness,108254,4.0,Residence Inn San Antonio Downtown/Alamo Plaza
cleanliness,239912,4.0,BEST WESTERN PLUS Sunset Suites - Riverwalk
cleanliness,625299,4.0,Drury Plaza Hotel Riverwalk
cleanliness,1584731,4.7,JW Marriott San Antonio Hill Country Resort & Spa
cleanliness,108571,3.7,Westin La Cantera Hill Country Resort
cleanliness,269651,3.6,Riverwalk Vista
cleanliness,656713,4.9,TownePlace Suites San Antonio Airport
cleanliness,99535,4.1,The Westin Riverwalk
cleanliness,2554348,4.9,Holiday Inn Hotel & Suites San Antonio Northwest
cleanliness,1723698,4.8,TownePlace Suites San Antonio Downtown
cleanliness,1140713,4.8,Comfort Suites Alamo/Riverwalk
cleanliness,1929352,4.8,Drury Plaza Hotel San Antonio North
cleanliness,1673679,4.8,Hyatt Place San Antonio-North/Stone Oak
cleanliness,288617,4.6,Mokara Hotel and Spa
cleanliness,115484,3.7,Arizona Biltmore
cleanliness,75662,3.7,Holiday Inn Express Phoenix Airport (University Drive)
cleanliness,224757,4.1,Red Roof Inn Phoenix West
cleanliness,266322,4.2,The Clarendon Hotel - Phoenix's Urban Retreat
cleanliness,73896,4.4,Hilton Suites Phoenix
cleanliness,112178,4.2,Arizona Grand Resort & Spa
cleanliness,224250,3.8,Embassy Suites Phoenix-Scottsdale
cleanliness,73957,3.8,Pointe Hilton Squaw Peak Resort
cleanliness,223861,4.0,SpringHill Suites Phoenix Downtown
cleanliness,142098,3.4,Quality Inn & Suites Phoenix
cleanliness,73792,2.8,Embassy Suites Phoenix Airport at 24th Street
cleanliness,73937,3.7,Residence Inn Phoenix
cleanliness,642935,3.2,LaQuinta Inn
cleanliness,74805,3.3,Fairfield Inn Phoenix North
cleanliness,73712,3.4,Super 8 Phoenix
cleanliness,1176612,3.2,Comfort Inn Phoenix
cleanliness,244405,2.8,Motel 6 Phoenix West
cleanliness,74652,3.2,Extended Stay America - Phoenix - Midtown
cleanliness,73727,2.5,Grace Inn Phoenix
cleanliness,73760,2.9,Days Inn Camelback Phoenix and Conference Center
cleanliness,73977,2.0,Budget Lodge of Phoenix
cleanliness,1646954,1.0,EZ Inn Motel
cleanliness,565626,2.2,Traveler's Inn
cleanliness,118790,4.0,Quality Inn & Suites Downtown
cleanliness,119366,1.7,Budget Suites of America
cleanliness,1926212,2.3,Travelodge Phoenix
cleanliness,73985,1.0,Knights Inn Phoenix
cleanliness,73743,2.2,A Victory Inn & Suites Phoenix North
cleanliness,73869,1.2,Motel 6 Phoenix - Black Canyon
cleanliness,1036415,2.7,Premier Inns
cleanliness,73803,1.7,Days Inn Phoenix West
cleanliness,119335,3.7,Extended Stay America - Phoenix - Airport - E. Oak St.
cleanliness,223039,2.2,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.
cleanliness,73768,2.7,Days Inn I-17 & Thomas
cleanliness,248145,2.0,Sierra Grande Suites
cleanliness,74724,1.7,Travel Inn
cleanliness,74561,1.4,Sterling International Hotels
cleanliness,119314,3.3,Mainstay Suites Metro Center
cleanliness,74732,2.0,Knights Inn Fairground-Phoenix
cleanliness,2309045,2.5,Knights Inn Phoenix
cleanliness,118794,1.3,Las Palmas Inn
cleanliness,217199,2.1,Homestead Phoenix Metro
cleanliness,74687,1.4,Ramada Inn Phoenix Downtown
cleanliness,73982,2.4,Days Inn Phoenix Airport
cleanliness,74657,1.5,Extended Stay America - Phoenix - Metro Center
cleanliness,73882,2.0,Motel 6 Phoenix North - Bell Road
cleanliness,112175,2.6,Extended Stay America - Phoenix - Biltmore
cleanliness,73875,4.0,Motel 6 Phoenix East
cleanliness,1164638,3.4,Phoenix Sunrise Motel
cleanliness,1160848,3.9,Holiday Inn Phoenix-Midtown
cleanliness,248361,2.5,Palm Shadows
cleanliness,73718,2.4,Lexington Hotel Central Phoenix
cleanliness,74739,2.8,Travelodge Phoenix (50th Ave.)
cleanliness,224749,3.0,Oakwood At Paradise Lakes
cleanliness,119337,0.0,Super 7 Motel
cleanliness,118793,0.0,Log Cabin Motel
cleanliness,73782,2.5,Comfort Suites Conference Center
cleanliness,243927,3.0,Motel 6 Phoenix Airport
cleanliness,74410,2.2,Budget Inn
cleanliness,74720,2.9,Days Inn Phoenix
cleanliness,73884,3.0,Motel 6 Phoenix - Northern Avenue
cleanliness,73817,1.0,Windsor Palms Apartments
cleanliness,239801,2.0,Studio 6 Phoenix - Deer Valley
cleanliness,1160841,5.0,The Hotel Waterfront Ivy
cleanliness,217193,3.7,Holiday Inn North Phoenix
cleanliness,74816,3.2,Crossland Economy Studios - Phoenix - West
cleanliness,74936,3.2,Extended Stay America - Phoenix - Chandler
cleanliness,73910,2.1,Travel Inn Airport
cleanliness,74587,4.4,Extended Stay America - Phoenix - Airport
cleanliness,73927,3.9,Howard Johnson Phoenix Airport/Downtown Area
cleanliness,119327,2.4,Extended Stay America - Phoenix - Deer Valley
cleanliness,73905,3.2,Phoenix Place Hotel & Suites
cleanliness,3405788,5.0,Skyline Inn Phoenix Airport
cleanliness,1026671,2.2,Value Place Phoenix
cleanliness,73825,3.2,Holiday Inn Phoenix-West
cleanliness,73773,1.5,Americas Best Value Inn Phoenix/I-10 West
cleanliness,73889,3.2,Days Inn Phoenix Metro Center
cleanliness,74744,1.9,Super 8 Motel - Phoenix West I-10
cleanliness,74752,2.5,Phoenix Metro North Super 8 Motel
cleanliness,248358,4.4,Anchorage Point
cleanliness,73840,3.8,Holiday Inn Phoenix Downtown North
cleanliness,3156712,4.7,EZ 8 Motel Airporter
cleanliness,73859,2.9,La Quinta Inn Phoenix Thomas Road
cleanliness,112162,2.9,Hotel San Carlos
cleanliness,218100,2.8,InnPlace Hotel Phoenix North
cleanliness,3513445,4.0,Rodeway Inn
cleanliness,74758,3.3,La Quinta Inn Phoenix - Arcadia
cleanliness,271801,3.2,Crowne Plaza Phoenix
cleanliness,262398,4.1,SpringHill Suites Phoenix North
cleanliness,239800,3.7,Hilton Garden Inn Phoenix
cleanliness,119355,3.1,Coast Phoenix Sky Harbor Hotel
cleanliness,119330,3.9,Arizona Royal Villa Resort
cleanliness,118775,3.8,Red Roof Phoenix North - Bell Road
cleanliness,73821,3.1,Hilton Phoenix Airport
cleanliness,239947,4.0,TownePlace Suites Phoenix Metrocenter Mall
cleanliness,73950,3.2,Sleep Inn Airport
cleanliness,73799,2.7,Embassy Suites Hotel Phoenix-North
cleanliness,1963064,3.8,Best West Inn Downtown
cleanliness,240681,3.7,Econo Lodge Airport
cleanliness,543136,3.4,Clarion Hotel Phoenix Tech Center
cleanliness,74583,4.4,Fairfield Inn Phoenix Airport
cleanliness,223036,4.4,Comfort Inn Phoenix West
cleanliness,73751,2.5,Courtyard by Marriott Phoenix North
